droger
term|score|std|term frequency|document frequency
alkohol|0.532963|0.040756|277|126
narkotika|0.482821|0.037331|106|50
nätet|0.472598|0.049377|174|117
tobak|0.458141|0.071745|65|39
vapen|0.457872|0.051312|158|74
kokain|0.451013|0.041686|5|4
bilder|0.442236|0.044249|91|60
missbrukare|0.438463|0.077094|92|49
läkemedel|0.436911|0.047897|410|163
preparat|0.435677|0.053319|72|27
handlingar|0.430117|0.046507|103|80
smällare|0.423211|0.056427|29|14
grupper|0.416348|0.047419|594|501
böcker|0.413515|0.042682|75|45
dopningsmedel|0.411397|0.054476|6|4
mediciner|0.410274|0.052439|114|82
sjukdomar|0.408497|0.046014|307|229
brott|0.408223|0.050105|749|412
vuxna|0.406363|0.039945|512|399
substanser|0.405503|0.052904|20|12
skatt
term|score|std|term frequency|document frequency
lön|0.577461|0.017162|300|217
skatten|0.560194|0.052191|136|90
avgift|0.559785|0.040661|157|114
inkomst|0.513740|0.032256|372|257
ersättning|0.511696|0.041355|790|463
betalar|0.508269|0.044242|457|340
betala|0.506453|0.026248|842|598
avgifter|0.502192|0.036836|373|245
försäkring|0.488178|0.027389|121|82
betalat|0.473769|0.046975|54|48
beskattas|0.468223|0.035529|107|78
pension|0.466749|0.046043|149|110
beskattningen|0.464712|0.037408|47|40
skatter|0.464528|0.054022|206|135
pris|0.462194|0.031971|153|122
beskattning|0.461982|0.056823|125|87
moms|0.457703|0.050060|64|35
koldioxidskatt|0.457134|0.085770|13|10
gång|0.453751|0.022362|415|353
löntagare|0.452337|0.045960|175|106
säkerhet
term|score|std|term frequency|document frequency
miljö|0.587404|0.041093|440|352
hälsa|0.587352|0.045034|635|447
tillgänglighet|0.545571|0.021683|393|232
trygghet|0.541098|0.042107|548|452
arbetsmiljö|0.533181|0.032608|334|209
konkurrenskraft|0.514679|0.022509|335|246
kvalitet|0.513982|0.035224|743|499
rättigheter|0.505445|0.036516|1113|579
respekt|0.497621|0.030973|252|199
förmåga|0.495145|0.016039|417|329
ansvar|0.494166|0.035130|2494|1655
kunskap|0.492759|0.027478|1478|977
kompetens|0.491254|0.029651|1174|769
tillsyn|0.488151|0.039715|265|170
säkerheten|0.488119|0.038447|208|156
kapacitet|0.479808|0.030920|410|279
trygga|0.478879|0.027848|350|298
effektivitet|0.474724|0.058323|95|90
skydd|0.473971|0.036946|813|526
alltid|0.463904|0.052355|912|776
trygghet
term|score|std|term frequency|document frequency
frihet|0.603026|0.033743|246|206
skydd|0.589795|0.041169|813|526
otrygghet|0.583199|0.034436|105|95
rehabilitering|0.575141|0.033398|271|153
arbetsmiljö|0.567610|0.038459|334|209
omsorg|0.545892|0.023432|388|254
rättigheter|0.544511|0.025907|1113|579
säkerhet|0.541098|0.042107|409|306
sjukförsäkring|0.540902|0.047862|86|52
välfärd|0.536503|0.035019|381|275
trygg|0.535298|0.047056|270|229
service|0.525750|0.026662|511|365
försäkring|0.523631|0.031091|121|82
bostad|0.522921|0.051284|271|198
trygga|0.522465|0.034730|350|298
vård|0.520416|0.037429|1094|606
rätt|0.520382|0.020901|3679|2213
hälsa|0.517985|0.018848|635|447
hjälp|0.514370|0.029434|1235|900
tryggheten|0.514158|0.031134|163|134
brott
term|score|std|term frequency|document frequency
övergrepp|0.731170|0.028710|446|184
våld|0.698302|0.031415|1043|344
brottet|0.663916|0.015848|107|73
barn|0.661265|0.025559|6103|1687
sexualbrott|0.624977|0.049692|77|44
våldtäkt|0.604377|0.036784|85|45
polisen|0.603694|0.023867|502|281
brotten|0.595303|0.029596|51|49
åtgärder|0.579818|0.027388|2500|1567
hot|0.575186|0.032634|633|384
personer|0.574422|0.036874|3239|1796
uppgifter|0.567663|0.036751|481|330
myndigheter|0.566645|0.027473|1407|860
kvinnor|0.565657|0.034636|3340|1029
områden|0.564641|0.018366|1275|907
missbruk|0.558930|0.036060|273|198
sexuella|0.554964|0.036188|644|245
insatser|0.550003|0.026047|1834|1092
barnen|0.547764|0.034590|954|531
skydd|0.547046|0.020831|813|526
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.568120|0.045595|177|114
organiserade|0.543529|0.043741|227|128
skattefusk|0.517496|0.046554|83|40
kriminella|0.512730|0.036104|222|136
kriminalitet|0.505739|0.031852|75|63
brott|0.500654|0.033758|749|412
fusk|0.491346|0.036176|106|66
insats|0.489219|0.034552|177|152
tillväxt|0.486355|0.032224|900|612
grova|0.481691|0.074631|102|77
organiserad|0.479890|0.037711|155|119
åtgärd|0.474684|0.047415|272|238
politik|0.465093|0.037920|813|521
polisen|0.463551|0.022163|502|281
prostitution|0.456958|0.045835|78|33
konkurrens|0.453512|0.038833|315|243
skattebrott|0.447504|0.024360|17|11
verksamhet|0.445486|0.026751|1707|1103
skatteundandragande|0.444506|0.034878|17|12
missbruk|0.443893|0.065893|273|198
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.505739|0.031852|254|167
brottsligheten|0.482768|0.034650|177|114
missbruk|0.478913|0.066885|273|198
förebygga|0.475897|0.061145|487|368
offren|0.438063|0.044578|43|27
motverka|0.437960|0.050062|607|485
segregation|0.428088|0.082069|54|46
organiserad|0.426159|0.051370|155|119
bekämpa|0.422143|0.044724|399|267
fusk|0.420927|0.042355|106|66
spelmissbruk|0.415551|0.049948|32|21
utanförskap|0.414480|0.035343|106|98
psykisk|0.412740|0.044192|416|265
spelberoende|0.408406|0.026606|50|21
utsatta|0.399972|0.059468|872|623
ohälsa|0.397684|0.047752|402|254
knarkhandel|0.397197|0.041139|4|4
hemlöshet|0.395246|0.064988|66|24
grova|0.393179|0.069323|102|77
alkohol|0.388678|0.023724|277|126
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.543007|0.047704|279|175
demokrati|0.520745|0.025885|309|249
rättvisa|0.442332|0.043072|140|117
klyftor|0.432741|0.043079|140|121
likvärdighet|0.427443|0.055934|52|42
välfärd|0.426032|0.031770|381|275
tillväxt|0.418561|0.031391|900|612
solidaritet|0.417833|0.049233|44|42
delaktighet|0.413388|0.048691|217|171
fred|0.409936|0.061692|137|82
självständighet|0.397978|0.049831|93|68
könen|0.397405|0.034161|49|47
kreativitet|0.395437|0.054957|68|52
integration|0.393398|0.050270|131|86
jämlika|0.393189|0.058132|132|110
sysselsättning|0.386154|0.028651|352|286
ojämlikhet|0.384825|0.050984|62|53
jämlikt|0.384140|0.045760|98|78
polarisering|0.382272|0.055923|27|24
social|0.382251|0.035358|551|417
solidaritet
term|score|std|term frequency|document frequency
sammanhållning|0.458601|0.040806|30|30
välfärd|0.447669|0.053130|381|275
samverkan|0.437890|0.032174|1285|731
humanitet|0.428222|0.048441|5|4
integration|0.423685|0.061794|131|86
demokrati|0.422974|0.048308|309|249
jämlikhet|0.417833|0.049233|105|84
tillväxt|0.417062|0.038541|900|612
jämställdhet|0.415349|0.044375|279|175
tillit|0.413816|0.064052|53|50
utveckling|0.406151|0.049665|2656|1577
politik|0.402058|0.047131|813|521
solidariteten|0.400917|0.063117|12|11
vänskap|0.398273|0.050921|4|4
rättvisa|0.395176|0.042829|140|117
ojämlikhet|0.388344|0.049676|62|53
konkurrenskraft|0.387094|0.052114|335|246
utrikespolitik|0.386767|0.075435|18|14
samspelet|0.384651|0.036573|33|26
samarbete|0.382472|0.023778|1127|692
rättvisa
term|score|std|term frequency|document frequency
öppenhet|0.477643|0.031931|93|75
jämställda|0.465537|0.054666|91|68
jämlika|0.464567|0.035308|132|110
jämlikhet|0.442332|0.043072|105|84
hållbara|0.440659|0.025055|340|261
progressiv|0.429127|0.060948|15|13
rättvis|0.423072|0.027758|142|128
gemensamma|0.410885|0.051087|941|605
samverkan|0.405692|0.034616|1285|731
jämställdhet|0.405412|0.051463|279|175
konkurrens|0.398348|0.034726|315|243
demokrati|0.396963|0.038076|309|249
solidaritet|0.395176|0.042829|44|42
välfärden|0.389934|0.031378|262|168
rättvisare|0.384534|0.039215|26|20
likvärdiga|0.384528|0.029074|194|165
stabila|0.381481|0.056973|98|76
välfärd|0.380095|0.041281|381|275
långsiktiga|0.378827|0.064197|540|431
långsiktigt|0.376070|0.039060|814|600
