droger
term|score|std|term frequency|document frequency
narkotika|0.686996|0.023846|683|266
alkohol|0.660031|0.030455|1861|556
langning|0.586491|0.045114|47|29
narkotikamissbruk|0.564496|0.037888|67|57
drogerna|0.560583|0.056875|23|21
dopningsmedel|0.546033|0.037626|21|14
tobak|0.542940|0.045466|416|167
preparat|0.533760|0.027379|276|119
kokain|0.531231|0.062042|29|18
narkotikapreparat|0.529221|0.040395|14|14
missbrukare|0.527075|0.042086|420|230
dopingpreparat|0.524284|0.051356|11|5
missbruket|0.521052|0.038296|198|150
drogpåverkade|0.513763|0.034349|9|8
steroider|0.509169|0.030930|70|25
missbruk|0.507895|0.038314|1032|606
drogmissbruk|0.506914|0.057406|91|73
tillhyggen|0.505828|0.038134|5|4
bensodiazepiner|0.505767|0.040166|63|13
våldet|0.504130|0.028309|587|270
skatt
term|score|std|term frequency|document frequency
beskattning|0.682912|0.031939|698|397
avgift|0.677001|0.026681|746|462
skatten|0.667317|0.027117|783|364
moms|0.640032|0.016911|422|221
inkomst|0.623475|0.012631|1497|917
inkomstskatt|0.596993|0.024472|98|63
lön|0.590671|0.031017|1170|749
alkoholskatt|0.580649|0.029683|27|19
fastighetsskatt|0.573912|0.028609|304|110
fordonsskatt|0.569764|0.036901|74|51
skatter|0.565280|0.016499|1026|559
ränta|0.560771|0.044061|225|145
kommunalskatt|0.553001|0.045160|45|32
försäkring|0.549204|0.036090|580|349
pension|0.548564|0.029458|691|390
ersättning|0.539829|0.016939|3445|1740
utdelning|0.538787|0.041479|216|151
arbetsgivaravgifter|0.537485|0.024053|332|223
avgiften|0.536300|0.019887|520|298
beskattningen|0.535610|0.043690|405|239
säkerhet
term|score|std|term frequency|document frequency
tillgänglighet|0.619974|0.030160|1464|839
effektivitet|0.594078|0.031104|644|525
hälsa|0.584577|0.028873|2657|1526
rättssäkerhet|0.576244|0.045033|353|272
miljö|0.570603|0.034037|3470|2226
trovärdighet|0.564581|0.032474|205|163
arbetsmiljö|0.550592|0.018110|1308|769
trygghet|0.545467|0.018524|2272|1525
kapacitet|0.540390|0.042245|1057|782
säkerheten|0.513448|0.030368|626|463
trafiksäkerhet|0.511703|0.040838|434|301
rättigheter|0.511575|0.029102|4699|1905
respekt|0.508473|0.028137|950|705
närvaro|0.505871|0.042095|393|271
fred|0.493084|0.028257|722|290
integritet|0.491504|0.043988|365|283
kvalitet|0.489088|0.032977|3261|1966
tillförlitlighet|0.484854|0.038651|35|33
handel|0.479626|0.027455|1281|721
förståelse|0.471912|0.032830|687|580
trygghet
term|score|std|term frequency|document frequency
otrygghet|0.644271|0.022536|350|298
tryggheten|0.634436|0.021013|529|399
frihet|0.621597|0.015889|997|737
delaktighet|0.615987|0.033774|784|604
valfrihet|0.583531|0.025642|441|304
gemenskap|0.576835|0.028419|362|320
inkomsttrygghet|0.561366|0.023227|55|38
livskvalitet|0.556800|0.028039|419|352
stabilitet|0.555260|0.030160|267|208
förtroende|0.550666|0.029081|594|489
grundtrygghet|0.549361|0.033072|24|24
anställningstrygghet|0.548838|0.025028|128|97
säkerhet|0.545467|0.018524|2083|1274
välfärd|0.544360|0.021629|1381|893
rättssäkerhet|0.542964|0.030700|353|272
kontinuitet|0.530800|0.026208|211|187
arbetsmiljö|0.524503|0.017267|1308|769
tillit|0.522809|0.030653|101|95
arbetsglädje|0.521723|0.043106|14|13
legitimitet|0.518242|0.024139|205|179
brott
term|score|std|term frequency|document frequency
övergrepp|0.771531|0.014876|1353|549
sexualbrott|0.730181|0.018895|228|114
brottet|0.724376|0.022380|351|233
brotten|0.721553|0.029593|192|152
våldsbrott|0.718409|0.014341|195|139
våldtäkt|0.671421|0.033953|298|154
våldtäkter|0.654672|0.035465|140|90
våld|0.654419|0.018492|3450|1042
våldet|0.647999|0.020716|587|270
skattebrott|0.638090|0.035032|146|70
förseelser|0.636924|0.024907|53|44
rattfylleri|0.611991|0.035135|204|95
straff|0.609577|0.018379|459|309
handlingar|0.600130|0.031712|428|324
överträdelser|0.596301|0.035092|98|84
barnpornografibrott|0.593455|0.041324|67|32
människohandel|0.592365|0.025721|519|116
brottsoffer|0.591864|0.020370|308|157
misshandel|0.587076|0.026644|413|294
sexköp|0.584821|0.032002|100|34
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.677907|0.028867|1101|419
kriminalitet|0.641542|0.024384|390|273
ekobrottslighet|0.612675|0.030523|51|32
smuggling|0.587132|0.053282|119|70
svartjobb|0.585865|0.039082|72|62
penningtvätt|0.581831|0.036538|126|40
ekobrott|0.574137|0.034240|130|71
brott|0.572772|0.018028|3259|1408
skattefusk|0.572651|0.036167|309|122
ekobrottsligheten|0.556150|0.036759|105|33
kriminaliteten|0.554348|0.026948|89|61
verksamhet|0.542035|0.025862|10369|5372
brottsbekämpning|0.536085|0.036734|93|63
korruption|0.532898|0.034302|164|64
grova|0.532390|0.029644|402|270
fusk|0.527120|0.032494|244|160
skattebrott|0.521526|0.040827|146|70
skattekontroll|0.518040|0.031417|102|51
svartarbete|0.513652|0.032363|141|85
utsatthet|0.512439|0.042344|324|261
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.641542|0.024384|1437|612
drogmissbruk|0.610324|0.036461|91|73
kriminaliteten|0.554268|0.037364|89|61
missbruk|0.542416|0.018537|1032|606
segregation|0.536220|0.025326|340|237
brottsligheten|0.527117|0.025058|1101|419
fusk|0.525589|0.038533|244|160
fattigdom|0.510549|0.028874|518|289
hemlöshet|0.509010|0.018610|196|62
narkotika|0.505554|0.037509|683|266
främlingsfientlighet|0.505235|0.030841|222|105
utslagning|0.501643|0.040351|376|290
ohälsa|0.501268|0.035944|1151|689
smuggling|0.498760|0.055044|119|70
knarkhandel|0.495582|0.042672|5|5
våldsbrott|0.491672|0.039480|195|139
droger|0.489995|0.035056|404|251
narkotikamissbruk|0.488422|0.051716|67|57
återfall|0.476992|0.037893|147|71
främlingsfientligheten|0.472201|0.048936|20|12
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.684804|0.028782|1280|685
rättvisa|0.654620|0.020730|931|653
delaktighet|0.631345|0.035151|784|604
integration|0.593240|0.025840|674|421
demokrati|0.591115|0.013487|1558|910
välfärd|0.554212|0.027693|1381|893
sammanhållning|0.551347|0.039309|102|90
tolerans|0.535717|0.045868|115|101
solidaritet|0.528304|0.042677|338|255
likformighet|0.526846|0.045165|99|57
folkhälsa|0.521724|0.030232|223|159
tillväxt|0.521261|0.010830|4043|2091
valfrihet|0.510659|0.040015|441|304
ojämlikhet|0.508449|0.019358|126|115
likvärdighet|0.508242|0.031574|109|74
mäns|0.497252|0.033448|876|430
humanism|0.494420|0.054541|41|24
stabilitet|0.494027|0.030801|267|208
öppenhet|0.493331|0.041281|453|320
fred|0.492730|0.030967|722|290
solidaritet
term|score|std|term frequency|document frequency
fred|0.607563|0.031444|722|290
demokrati|0.571227|0.028411|1558|910
solidariteten|0.561805|0.041455|87|67
jämlikhet|0.528304|0.042677|409|277
respekt|0.521800|0.033384|950|705
välfärd|0.521450|0.028352|1381|893
integration|0.511229|0.054781|674|421
sammanhållning|0.510639|0.045406|102|90
världsordning|0.499315|0.027227|29|22
välfärdsmodell|0.497943|0.046633|30|24
gemenskap|0.496157|0.039100|362|320
rättvisa|0.492025|0.025399|931|653
tolerans|0.489157|0.035280|115|101
humanism|0.487917|0.054188|41|24
samhällsutveckling|0.487767|0.032140|199|169
samhällsmodell|0.486835|0.043414|23|21
humanitet|0.483640|0.037010|21|18
delaktighet|0.481385|0.032160|784|604
jämställdhet|0.478526|0.035501|1280|685
försoning|0.466905|0.040901|54|28
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.654620|0.020730|409|277
rättvis|0.635173|0.023021|750|518
likformighet|0.606801|0.044372|99|57
förutsägbarhet|0.564232|0.032625|40|37
rättvist|0.559090|0.021477|482|381
jämställdhet|0.554570|0.027152|1280|685
välfärd|0.540324|0.031753|1381|893
rättvisare|0.534591|0.023589|165|141
