droger
term|score|std|term frequency|document frequency
narkotika|0.641678|0.031120|577|216
tika|0.627622|0.023338|2|2
alkohol|0.620717|0.016093|1584|430
narkotikamissbruk|0.603985|0.032887|60|50
narko|0.602232|0.022817|2|2
narkotikapreparat|0.556049|0.046982|9|9
narkotikan|0.550498|0.041251|54|48
zoonoser|0.544706|0.020692|2|2
injicera|0.543490|0.059626|1|1
riskbruk|0.536666|0.051046|5|3
injicerar|0.533826|0.023555|1|1
bakterier|0.528744|0.033471|31|17
droganvändning|0.523408|0.038258|8|8
okontrollerade|0.520218|0.041343|18|18
tillhyggen|0.518331|0.046429|4|3
missbruket|0.518066|0.039757|165|122
langning|0.516311|0.041047|32|23
cannabis|0.512714|0.051610|9|9
berusningsmedel|0.511745|0.045389|15|8
kokain|0.502484|0.059662|24|14
skatt
term|score|std|term frequency|document frequency
källskatt|0.732778|0.013254|10|8
bolagsskatt|0.676168|0.019543|29|17
skatten|0.667758|0.024328|647|274
avgift|0.651531|0.028788|589|348
försäkringspremier|0.625241|0.019221|13|12
fordonsskatt|0.619808|0.017374|66|44
avkastningsskatt|0.617018|0.017070|11|8
förmögenhetsskatt|0.612056|0.013960|110|39
ränta|0.611077|0.020154|201|125
askatt|0.605970|0.033383|6|5
punktskatt|0.604812|0.020141|25|15
inkomstskatt|0.598453|0.028463|90|55
skattesats|0.598271|0.025591|67|43
beskattning|0.595981|0.013455|573|310
moms|0.588849|0.053598|358|186
kommunalskatt|0.587472|0.035906|43|30
förvärvsinkomst|0.586066|0.013238|21|15
marginalskatt|0.584433|0.035596|11|10
fastighetsskatt|0.584333|0.028396|296|105
arbetsgivaravgifter|0.581310|0.033612|254|158
säkerhet
term|score|std|term frequency|document frequency
kerhet|0.598613|0.028380|2|2
pålitlighet|0.553274|0.024574|15|11
flygsäkerhet|0.530657|0.026809|13|13
robusthet|0.514198|0.024443|4|4
synlighet|0.505870|0.018235|20|14
tillförlitlighet|0.501718|0.020243|20|18
rustningskontroll|0.493673|0.036674|2|2
sjösäkerhet|0.491756|0.037297|59|37
trovärdighet|0.490729|0.037902|165|126
tillgänglighet|0.485898|0.031067|1071|607
noggrannhet|0.480426|0.027904|26|26
trygghet|0.479652|0.025965|1724|1073
närvaro|0.477813|0.027820|233|151
budgetdisciplin|0.475980|0.009083|4|4
leveranssäkerhet|0.473856|0.029239|20|15
framkomlighet|0.471938|0.022682|133|111
driftsäkerhet|0.469832|0.027039|11|11
emotionell|0.466727|0.020606|13|13
rättssäkerhet|0.464335|0.046114|278|203
trafiksäkerhet|0.459500|0.035706|365|254
trygghet
term|score|std|term frequency|document frequency
otrygghet|0.577595|0.019978|245|203
tryggheten|0.567328|0.032128|366|265
gemenskap|0.538575|0.043653|285|247
trivsel|0.534146|0.023130|57|51
rättstrygghet|0.530098|0.031496|31|26
delaktighet|0.527685|0.026419|567|433
livskvalitet|0.526406|0.026421|344|280
välfärd|0.521242|0.030661|1000|618
studiero|0.519704|0.034463|26|15
lärandemiljö|0.517312|0.028567|1|1
självkänsla|0.515814|0.031395|106|100
uppväxtmiljö|0.509418|0.030058|33|29
valfrihet|0.504131|0.026141|386|257
rättsäkerhet|0.503769|0.041717|11|11
tillit|0.501455|0.038246|48|45
betalningsvilja|0.500621|0.034394|8|8
rättssäkerhet|0.499137|0.032844|278|203
förutsägbarhet|0.493547|0.015751|30|28
sammanhållning|0.493456|0.042991|72|60
levnadsstandard|0.488999|0.030688|90|78
brott
term|score|std|term frequency|document frequency
övergrepp|0.726097|0.022540|907|365
sexualbrott|0.725646|0.019805|151|70
brotten|0.712023|0.024799|141|103
våldsbrott|0.707950|0.025624|179|123
brottet|0.704314|0.027612|244|160
gärningar|0.702749|0.016325|36|35
krigsförbrytelser|0.694169|0.027739|22|13
förseelser|0.658864|0.015676|47|39
trafikbrott|0.651101|0.019673|31|21
barnpornografibrott|0.650019|0.044864|66|31
folkmord|0.630873|0.025087|68|42
bidragsbrott|0.628251|0.025599|6|3
skattebrott|0.625090|0.033001|129|59
sexualbrotten|0.624142|0.017388|3|3
misshandelsbrott|0.614216|0.038894|23|10
våldshandlingar|0.613134|0.035996|63|42
våldtäktsbrott|0.609947|0.063122|6|5
bedrägeribrott|0.608481|0.083223|1|1
vapenbrott|0.606918|0.008156|4|3
rattfylleribrott|0.603855|0.058568|27|14
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.659910|0.018706|315|210
terroristbrottslighet|0.635467|0.022770|1|1
brottsligheten|0.632570|0.026671|924|305
narkotikabrottslighet|0.627061|0.036424|10|8
ekobrottslighet|0.611144|0.021499|50|31
bedrägeri|0.605788|0.022436|15|15
miljöbrottslighet|0.593997|0.039881|8|5
bedrägerier|0.584982|0.033808|24|21
underrättelseverksamhet|0.584190|0.017607|10|7
smuggling|0.581485|0.018534|107|60
vinning|0.572707|0.017005|32|27
ekobrott|0.572443|0.029907|123|65
kriminaliteten|0.572101|0.034525|69|44
narkotikabrottsligheten|0.569193|0.019889|25|13
penningtvätt|0.568020|0.036762|106|30
narkotikasmuggling|0.562046|0.041242|22|21
narkotikahandel|0.555028|0.027687|11|10
ekobrottsligheten|0.551815|0.035078|104|32
brotts|0.542172|0.021813|7|7
miljöbrott|0.539951|0.032365|42|19
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.659910|0.018706|1183|445
drogmissbruk|0.566815|0.026323|87|69
narkotikahandel|0.562839|0.033340|11|10
depression|0.561760|0.043349|92|73
fientlighet|0.552395|0.022274|3|3
radikalisering|0.541279|0.022902|1|1
terroristbrottslighet|0.537190|0.030309|1|1
tiggeri|0.534348|0.026181|3|3
misär|0.530691|0.038953|51|47
sabotage|0.530535|0.038817|20|19
extremism|0.528975|0.018970|8|6
återfall|0.528168|0.026073|127|58
viktimisering|0.526904|0.075601|2|2
skadegörelse|0.526552|0.048372|57|39
kriminaliteten|0.526333|0.062881|69|44
spelproblem|0.524924|0.035974|2|2
narkotikabrottslighet|0.522819|0.038853|10|8
fattigdom|0.522816|0.039236|360|176
människoexploatering|0.519806|0.027678|1|1
utsatthet|0.519449|0.028750|207|165
jämlikhet
term|score|std|term frequency|document frequency
rättvisa|0.638839|0.031573|791|536
jämställdhet|0.626496|0.029726|1001|510
delaktighet|0.614929|0.040569|567|433
sammanhållning|0.571334|0.033833|72|60
tolerans|0.564322|0.040969|95|84
ickediskriminering|0.524584|0.052967|21|18
integration|0.516725|0.035687|543|335
trivsel|0.509260|0.026713|57|51
ställdhet|0.507441|0.031669|1|1
demokrati|0.505306|0.047066|1249|661
egenmakt|0.502951|0.038398|17|13
fattigdomsminskning|0.492596|0.023884|6|4
inkomstspridning|0.491729|0.031341|7|2
inkludering|0.491474|0.027972|5|4
solidaritet|0.490523|0.043521|294|213
levnadsvillkor|0.483422|0.033471|194|153
likformighet|0.483018|0.040916|81|45
fattigdom|0.482981|0.024807|360|176
folkhälsa|0.482726|0.026020|178|120
könen|0.481929|0.033814|219|165
solidaritet
term|score|std|term frequency|document frequency
fred|0.562145|0.033338|585|208
gemenskap|0.559413|0.032059|285|247
tolerans|0.549653|0.047132|95|84
solidariteten|0.549461|0.044129|75|56
demokrati|0.547503|0.026433|1249|661
sammanhållning|0.542918|0.026832|72|60
integration|0.524069|0.045872|543|335
humanism|0.505698|0.039402|38|21
samexistens|0.504206|0.030596|9|9
värderingar|0.502749|0.039459|474|345
försoning|0.500771|0.052469|52|26
rustningskontroll|0.495924|0.035065|2|2
fattigdomsminskning|0.495386|0.037995|6|4
världsordning|0.491729|0.038597|29|22
rättighetsperspektivet|0.491542|0.036859|4|4
jämlikhet|0.490523|0.043521|304|193
asylpolitik|0.486255|0.047110|13|10
migration|0.485852|0.020560|102|49
rättvisa|0.479664|0.039213|791|536
fattigdom|0.476338|0.039649|360|176
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.638839|0.031573|304|193
likformighet|0.592290|0.025265|81|45
rättvis|0.547896|0.029647|608|390
välfärd|0.546609|0.025745|1000|618
sammanhållning|0.546026|0.033800|72|60
jämställdhet|0.542349|0.034368|1001|510
förutsägbarhet|0.542285|0.026701|30|28
neutralitet|0.527295|0.028427|97|64
rättvisare|0.517681|0.022909|139|121
ickediskriminering|0.510320|0.033403|21|18
anständiga|0.509874|0.028973|17|17
ojämlikhet|0.507491|0.028738|64|62
frihandel|0.502527|0.044426|79|43
jämlika|0.498616|0.026122|143|128
förutsebarhet|0.493782|0.021510|14|12
samstämmighet|0.492464|0.029307|81|69
långsiktighet|0.491138|0.043573|200|162
effektivitet|0.486002|0.037319|549|435
budgetdisciplin|0.485759|0.024158|4|4
