droger
term|score|std|term frequency|document frequency
narkotika|0.700969|0.032062|1244|316
steroider|0.615063|0.039583|51|15
cannabis|0.614579|0.039097|20|15
anabola|0.584997|0.032099|41|13
antibiotika|0.572854|0.020335|26|19
dopningsmedel|0.560443|0.033080|36|18
vapen|0.560104|0.018751|848|239
missbruket|0.559766|0.030272|281|127
preparat|0.559117|0.022948|242|129
dopningspreparat|0.558174|0.052637|18|5
narkotikamissbruk|0.554536|0.032692|149|71
amfetamin|0.546833|0.057880|23|19
bakterier|0.545730|0.024620|31|28
narko|0.538781|0.019045|2|2
alkohol|0.537409|0.025176|1594|496
råttor|0.533281|0.027157|1|1
våld|0.526608|0.025156|1753|548
missbrukssubstanser|0.523957|0.021763|3|3
ecstasy|0.516178|0.055728|31|21
smittämnen|0.516166|0.026958|13|6
skatt
term|score|std|term frequency|document frequency
skatten|0.712322|0.011526|2612|1005
fastighetsskatt|0.677317|0.021906|678|259
moms|0.665424|0.012519|1167|517
förmögenhetsskatt|0.655402|0.030008|435|215
skattesats|0.653891|0.023697|228|135
inkomstskatt|0.651195|0.022265|445|261
källskatt|0.646782|0.018569|33|21
marginalskatt|0.643359|0.027341|150|70
bolagsskatt|0.635309|0.026287|50|45
kommunalskatt|0.630496|0.014651|245|126
avgift|0.628965|0.030547|803|491
punktskatt|0.614741|0.023451|54|30
elskatt|0.609712|0.031378|62|38
kupongskatt|0.607469|0.031650|12|8
beskattning|0.605454|0.017101|1694|811
lön|0.599039|0.011247|1205|585
avkastningsskatt|0.596009|0.020775|62|43
förvärvsinkomst|0.594952|0.031782|33|29
inkomst|0.594288|0.019027|2059|815
administrationsavgift|0.592481|0.028725|6|6
säkerhet
term|score|std|term frequency|document frequency
suveränitet|0.527624|0.017181|63|46
integritet|0.521271|0.037430|617|350
trygghet|0.519335|0.019795|2506|1087
livsmedelsförsörjning|0.506105|0.025178|23|23
interoperabilitet|0.494248|0.022576|8|5
robusthet|0.492405|0.021743|5|4
trovärdighet|0.491383|0.036615|290|228
frihet|0.479860|0.035445|2312|1042
respekt|0.477092|0.020251|1162|657
hygien|0.474237|0.033121|36|34
polisberedskap|0.469945|0.246218|1|1
driftssäkerhet|0.465006|0.067332|5|4
tillförlitlighet|0.464560|0.031500|29|24
autonomi|0.463982|0.041550|29|25
driftsäkerhet|0.460915|0.038571|8|7
komfort|0.458872|0.041324|34|32
noggrannhet|0.455961|0.052276|26|25
skyddseffekt|0.454336|0.036586|1|1
krishanteringsförmåga|0.454324|0.040918|43|13
vapenkontroll|0.453538|0.033162|6|5
trygghet
term|score|std|term frequency|document frequency
valfrihet|0.632398|0.013321|2184|828
tryggheten|0.629907|0.022248|425|264
frihet|0.629163|0.018589|2312|1042
värdighet|0.624923|0.029075|109|72
välfärd|0.615870|0.022623|941|478
rättstrygghet|0.615489|0.022690|240|139
otrygghet|0.611410|0.020292|258|195
grundtrygghet|0.609370|0.029150|54|41
sammanhållning|0.606147|0.020270|33|28
delaktighet|0.603279|0.023604|327|237
självkänsla|0.573014|0.032296|94|86
livschanser|0.567639|0.057793|9|9
normer3|0.550387|0.033874|2|2
egenmakt|0.545484|0.033846|51|38
stabilitet|0.541196|0.009505|415|246
vardagsmiljö|0.533618|0.030906|2|2
livskvalitet|0.532917|0.022920|249|190
tillit|0.526464|0.028672|62|58
rättsäkerhet|0.526013|0.033905|8|8
ålderdom|0.524884|0.031893|122|82
brott
term|score|std|term frequency|document frequency
våldsbrott|0.828855|0.010765|462|218
brotten|0.749830|0.018335|311|196
sexualbrott|0.742943|0.030033|112|69
brottet|0.707726|0.019731|608|284
misshandelsbrott|0.685771|0.026560|61|39
övergrepp|0.682398|0.023706|555|264
rattfylleribrott|0.675632|0.025761|29|19
våldtäkter|0.663713|0.022069|100|53
trafiknykterhetsbrott|0.661148|0.054688|36|14
bedrägeribrott|0.655974|0.029753|1|1
gärningar|0.655815|0.023985|100|65
trafikbrott|0.643793|0.037398|47|29
skattebrott|0.642102|0.018756|39|26
immaterialrättsintrång|0.625945|0.031690|3|1
gärningsmän|0.620010|0.021297|101|68
narkotikabrott|0.618459|0.023353|282|90
överträdelser|0.611246|0.038265|107|80
barnmisshandel|0.609073|0.025651|46|17
våldtäktsbrott|0.607351|0.035329|13|8
brottslingar|0.606745|0.031665|532|198
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.688679|0.020714|447|261
brotts|0.641589|0.025013|38|32
brottsligheten|0.635342|0.013477|1020|340
narkotikabrottslighet|0.630909|0.022475|56|28
narkotikabrottsligheten|0.593449|0.046422|34|25
misskötsamhet|0.589384|0.031515|8|6
sabotage|0.586333|0.021945|15|14
narkotikasmuggling|0.584440|0.028904|38|24
underrättelseverksamhet|0.579376|0.013004|14|11
polisverksamhet|0.570816|0.030721|55|41
brott|0.558754|0.014022|5456|1337
smuggling|0.553106|0.022205|155|103
ekobrott|0.550808|0.041301|39|32
terrorism|0.550410|0.039237|263|69
våldsbrottslighet|0.541158|0.052157|19|17
alkoholhantering|0.534625|0.031911|15|13
våldsbrott|0.532920|0.021059|462|218
människohandel|0.531816|0.017394|157|46
misshandel|0.521075|0.033470|597|249
narkotikahandel|0.518423|0.031211|53|34
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.688679|0.020714|1374|511
drogmissbruk|0.603022|0.023885|115|87
radikalisering|0.594810|0.024870|3|3
våldsbrottslighet|0.581523|0.047862|19|17
narkotikamissbruk|0.574280|0.048732|149|71
desinformation|0.570122|0.022966|1|1
missbruk|0.569653|0.028989|1012|468
hatbrott|0.569385|0.033417|5|5
antisemitism|0.564230|0.049970|5|4
extremism|0.562459|0.028506|10|8
brottsligheten|0.560228|0.022072|1020|340
vålds|0.556876|0.048128|33|28
sabotage|0.548297|0.012619|15|14
narkotikabrottsligheten|0.547673|0.018218|34|25
smuggling|0.537459|0.024890|155|103
missbruket|0.536924|0.030628|281|127
narkotika|0.531283|0.023711|1244|316
fientlighet|0.530922|0.027025|16|14
misär|0.530220|0.041115|85|66
våldet|0.524394|0.027964|292|152
jämlikhet
term|score|std|term frequency|document frequency
sammanhållning|0.563677|0.030556|33|28
jämställdhet|0.548821|0.046211|588|175
rättvisa|0.538061|0.042527|531|402
studiero|0.525588|0.025479|18|9
likvärdighet|0.507855|0.025305|44|30
trygghet|0.498645|0.028796|2506|1087
demokrati|0.492526|0.029313|1645|533
delaktighet|0.488570|0.027410|327|237
rättsäkerhet|0.486800|0.031118|8|8
könen|0.479063|0.043490|118|80
tolerans|0.476641|0.042532|66|59
ojämlikhet|0.471535|0.050750|10|10
representativitet|0.469938|0.031051|19|18
integration|0.465967|0.027362|542|308
gemenskap|0.462341|0.031213|247|207
likabehandling|0.462185|0.024039|158|114
enhetlighet|0.461146|0.046856|58|53
mobilitet|0.460157|0.035519|3|3
fred|0.459370|0.027347|470|214
interkulturell|0.455940|0.051984|5|2
solidaritet
term|score|std|term frequency|document frequency
gemenskap|0.549249|0.039072|247|207
sammanhållning|0.509524|0.031594|33|28
försoning|0.507770|0.042189|41|29
respekt|0.503636|0.042944|1162|657
integration|0.493677|0.034919|542|308
trygghet|0.477744|0.025886|2506|1087
maktdelning|0.476757|0.044462|133|31
samhörighet|0.470113|0.032945|102|92
demokrati|0.468226|0.030916|1645|533
jämställdhet|0.467594|0.021553|588|175
polarisering|0.464252|0.027831|7|7
sympati|0.462670|0.048102|23|21
samstämmighet|0.461049|0.031685|57|53
brobyggare|0.460924|0.011920|1|1
instabilitet|0.455866|0.037756|48|31
interaktion|0.453670|0.022765|5|5
solidariteten|0.453293|0.049282|20|19
civilisationer|0.446851|0.026053|1|1
maktfördelningen|0.445857|0.046312|6|5
rättvisa|0.438438|0.042533|531|402
rättvisa
term|score|std|term frequency|document frequency
förutsägbarhet|0.539323|0.030695|101|90
jämlikhet|0.538061|0.042527|100|83
jämlika|0.535021|0.039343|34|28
jämställdhet|0.525555|0.049339|588|175
valfrihet|0.509626|0.038633|2184|828
rättvisare|0.494463|0.032910|78|73
likformighet|0.494449|0.035885|65|53
enhetlighet|0.483553|0.041991|58|53
anständiga|0.480030|0.035717|12|12
förutsägbara|0.470498|0.033167|54|49
avtalsfrihet|0.469546|0.041141|58|45
trygghet|0.468572|0.036097|2506|1087
rättvist|0.466009|0.040183|294|260
rättssäkerhet|0.465837|0.027708|583|374
symmetri|0.465357|0.059058|5|5
likabehandling|0.465252|0.054101|158|114
neutralitet|0.455457|0.025999|96|85
förutsebarhet|0.454296|0.041849|81|63
sammanhållning|0.453665|0.047359|33|28
likställdhet|0.453607|0.062153|4|4
