droger
term|score|std|term frequency|document frequency
narkotika|0.659567|0.026006|683|266
tika|0.646244|0.019418|2|2
narko|0.629394|0.018070|2|2
alkohol|0.615022|0.032061|1861|556
narkotikamissbruk|0.594563|0.027622|67|57
steroider|0.578620|0.055919|70|25
narkotikapreparat|0.575397|0.041993|14|14
dopningsmedel|0.573939|0.036755|21|14
tillhyggen|0.573651|0.017492|5|4
anabola|0.571997|0.050937|71|26
kokain|0.564241|0.047188|29|18
zoonoser|0.563992|0.021505|2|2
dopning|0.561221|0.039892|99|30
preparat|0.556152|0.039881|276|119
drogerna|0.551134|0.069650|23|21
narkotikan|0.542475|0.054646|69|58
narkomaner|0.541275|0.047541|39|26
langning|0.540836|0.028104|47|29
bakterier|0.527265|0.040156|55|38
berusningsmedel|0.525101|0.028155|15|8
skatt
term|score|std|term frequency|document frequency
källskatt|0.700393|0.018399|11|9
skatten|0.683255|0.024708|783|364
bolagsskatt|0.651300|0.032611|36|20
avgift|0.639226|0.020167|746|462
försäkringspremier|0.637530|0.024607|15|14
beskattning|0.635624|0.011575|698|397
moms|0.621674|0.016960|422|221
fordonsskatt|0.619566|0.019919|74|51
förmögenhetsskatt|0.617491|0.019616|110|39
skattesats|0.605209|0.029958|72|46
askatt|0.596927|0.031673|6|5
punktskatt|0.596419|0.027747|28|18
fastighetsskatt|0.593330|0.015036|304|110
inkomstskatt|0.592154|0.023827|98|63
reavinstskatt|0.588877|0.033053|41|19
arbetsgivaravgifter|0.587588|0.019128|332|223
ränta|0.579769|0.022537|225|145
statsskatt|0.575297|0.051829|16|13
avkastningsskatt|0.575127|0.025192|11|8
kommunalskatt|0.574058|0.037219|45|32
säkerhet
term|score|std|term frequency|document frequency
kerhet|0.588226|0.019356|2|2
pålitlighet|0.540031|0.037326|16|12
rustningskontroll|0.515429|0.035856|2|2
tillförlitlighet|0.506845|0.025075|35|33
flygsäkerhet|0.493951|0.067637|14|14
tillgänglighet|0.491441|0.029210|1464|839
rättssäkerhet|0.490529|0.035817|353|272
kapacitet|0.485864|0.025480|1057|782
sjösäkerhet|0.484627|0.039208|63|41
driftsäkerhet|0.479613|0.016351|16|15
säkerhetsnivå|0.477330|0.021160|14|14
samhällsstyrning|0.475359|0.027071|29|12
trafiksäkerhet|0.473702|0.025604|434|301
synlighet|0.470248|0.035047|29|20
trovärdighet|0.469994|0.027774|205|163
luftomsättning|0.466145|0.049347|5|5
trygghet|0.464139|0.018689|2272|1525
tillit|0.463360|0.028030|101|95
hygien|0.461962|0.023741|49|49
budgetdisciplin|0.458957|0.026615|4|4
trygghet
term|score|std|term frequency|document frequency
grundtrygghet|0.586010|0.029034|24|24
otrygghet|0.583301|0.027362|350|298
tryggheten|0.580519|0.019420|529|399
frihet|0.555024|0.017563|997|737
rättssäkerhet|0.544541|0.032811|353|272
inkomsttrygghet|0.541616|0.026922|55|38
valfrihet|0.532824|0.021506|441|304
gemenskap|0.530990|0.030165|362|320
arbetsglädje|0.527230|0.054225|14|13
rättstrygghet|0.510674|0.045956|31|26
uppväxtmiljö|0.510585|0.028756|46|42
delaktighet|0.510079|0.020062|784|604
tillit|0.509261|0.030603|101|95
livskvalitet|0.508188|0.017323|419|352
studiero|0.504393|0.024573|36|24
sammanhållning|0.498454|0.032273|102|90
självtillit|0.497435|0.042881|12|11
kontinuitet|0.497105|0.025475|211|187
