droger
term|score|std|term frequency|document frequency
narkotika|0.770753|0.013756|1569|445
alkohol|0.632939|0.023027|2096|774
narkotikamissbruk|0.616229|0.025834|166|87
missbruket|0.589566|0.039232|332|169
drogerna|0.581106|0.042339|82|50
kriminalitet|0.578674|0.029843|646|386
internet|0.568975|0.016861|1251|584
ungdomar|0.566775|0.023589|5249|2085
intagna|0.560932|0.030453|661|217
preparat|0.555194|0.022683|345|180
missbruk|0.547448|0.038369|1367|677
vapen|0.547262|0.024952|1602|468
våldet|0.545351|0.018421|421|241
missbrukare|0.540692|0.029971|605|221
cannabis|0.529278|0.048295|61|29
våld|0.526234|0.030092|3309|1015
brottslingar|0.525182|0.046300|643|287
heroin|0.524868|0.041833|47|26
interner|0.522669|0.055920|54|40
skjutvapen|0.521595|0.035704|205|103
skatt
term|score|std|term frequency|document frequency
skatten|0.749715|0.018495|3183|1350
fastighetsskatt|0.712598|0.018092|698|277
inkomstskatt|0.707356|0.018803|503|307
moms|0.691990|0.019235|1481|686
beskattning|0.684240|0.020186|1938|994
avgift|0.679248|0.019699|1150|709
kommunalskatt|0.675622|0.012104|270|146
lön|0.659218|0.015459|1481|796
marginalskatt|0.649688|0.039569|179|89
förmögenhetsskatt|0.648970|0.022103|435|215
skattesats|0.639114|0.022376|263|169
skatter|0.627589|0.008737|4688|1871
inkomst|0.620469|0.028757|2518|1124
ränta|0.618801|0.022807|339|243
arbetsgivaravgift|0.617577|0.032382|180|138
arbetsgivaravgifter|0.603713|0.021813|818|464
skattebelastning|0.596447|0.036658|78|70
reavinstskatt|0.591742|0.044126|104|68
mervärdesskatt|0.585845|0.013273|462|201
avgifter|0.582530|0.013973|2734|1459
säkerhet
term|score|std|term frequency|document frequency
trovärdighet|0.621743|0.027145|384|312
integritet|0.610910|0.014849|824|502
trygghet|0.603163|0.019303|3394|1748
stabilitet|0.584254|0.021090|556|350
hälsa|0.583704|0.022233|2639|1346
rättssäkerhet|0.569231|0.022288|710|482
tillgänglighet|0.565889|0.022062|1180|785
säkerheten|0.559219|0.028846|788|563
suveränitet|0.558399|0.028053|72|55
kapacitet|0.557502|0.022488|868|656
legitimitet|0.553548|0.033078|440|343
beredskap|0.550933|0.035698|665|429
förmåga|0.543944|0.024495|2816|1658
frihet|0.536640|0.020878|2921|1485
effektivitet|0.536562|0.029715|1038|777
styrka|0.533332|0.030461|689|574
respekt|0.530261|0.030509|1511|937
miljö|0.527014|0.022872|2954|1716
välfärd|0.523484|0.021399|1239|718
ekonomi|0.522516|0.016772|3160|1799
trygghet
term|score|std|term frequency|document frequency
frihet|0.699097|0.015510|2921|1485
delaktighet|0.698512|0.022666|521|390
otrygghet|0.672301|0.020002|463|375
tryggheten|0.648841|0.025900|747|519
valfrihet|0.635200|0.016253|2637|1097
välfärd|0.629866|0.020597|1239|718
värdighet|0.614773|0.028696|136|96
stabilitet|0.612451|0.018053|556|350
tillit|0.611321|0.025822|171|149
gemenskap|0.608205|0.019499|364|301
säkerhet|0.603163|0.019303|2582|1563
rättssäkerhet|0.594330|0.022060|710|482
personlighetsutveckling|0.591035|0.028533|5|5
hälsa|0.582431|0.016467|2639|1346
individen|0.573416|0.018603|1290|888
respekt|0.570386|0.023376|1511|937
utsatthet|0.569310|0.028042|185|158
rättstrygghet|0.568476|0.033898|246|145
trivsel|0.562714|0.032891|87|84
självständighet|0.560603|0.036025|597|368
brott
term|score|std|term frequency|document frequency
våldsbrott|0.843135|0.016425|565|307
brotten|0.801251|0.015296|529|343
brottet|0.792178|0.010353|1023|534
övergrepp|0.757601|0.011376|869|443
sexualbrott|0.752405|0.022259|332|154
gärningar|0.713661|0.024192|149|107
våldtäkter|0.700551|0.019761|157|94
narkotikabrott|0.684389|0.014553|343|123
rån|0.672036|0.030670|407|177
brottslighet|0.671270|0.016233|2199|928
straff|0.659122|0.020916|1702|801
våld|0.658831|0.020711|3309|1015
våldtäkt|0.653127|0.035596|392|153
gärningsmän|0.647333|0.034311|196|136
brottsligheten|0.638983|0.023906|1417|622
handlingar|0.635261|0.020717|854|521
mord|0.629169|0.029338|331|145
brottslingar|0.626795|0.016662|643|287
bostadsinbrott|0.616594|0.032007|113|65
våldet|0.616164|0.030452|421|241
brottslighet
term|score|std|term frequency|document frequency
kriminalitet|0.772769|0.022572|646|386
brottsligheten|0.728399|0.010972|1417|622
brott|0.671270|0.016233|8847|2502
brotten|0.635526|0.026407|529|343
misskötsamhet|0.608527|0.057530|20|12
grova|0.602989|0.022189|1017|597
narkotikabrottslighet|0.602679|0.041714|66|34
narkotikabrott|0.595422|0.032609|343|123
misshandel|0.594979|0.025379|756|369
bedrägerier|0.593055|0.039201|141|102
våldsbrott|0.582953|0.024813|565|307
brottsbekämpning|0.580146|0.040954|306|181
gängkriminalitet|0.578378|0.042436|71|44
narkotikasmuggling|0.569918|0.028612|46|28
bedrägeribrott|0.568867|0.037024|18|12
kriminaliteten|0.566314|0.031218|134|107
terrorism|0.566298|0.020443|502|162
narkotikabrottsligheten|0.566239|0.050208|40|30
brottet|0.565248|0.022165|1023|534
våldsbrottslighet|0.564799|0.058718|28|26
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.772769|0.022572|2199|928
brottsligheten|0.660494|0.016681|1417|622
missbruk|0.630536|0.022795|1367|677
gängkriminalitet|0.629410|0.037147|71|44
