droger
term|score|std|term frequency|document frequency
narkotika|0.742233|0.017628|1569|445
steroider|0.601031|0.054720|70|25
dopningspreparat|0.588715|0.028741|29|9
anabola|0.585211|0.050248|58|21
alkohol|0.580839|0.022981|2096|774
preparat|0.572139|0.030930|345|180
cannabis|0.562607|0.054828|61|29
drogerna|0.557682|0.034772|82|50
narko|0.542856|0.021500|2|2
narkotikamissbruk|0.540790|0.026926|166|87
missbruket|0.538216|0.040556|332|169
missbrukssubstanser|0.532435|0.035972|3|3
kriminalitet|0.530900|0.035082|646|386
internet|0.522348|0.022868|1251|584
heroin|0.520454|0.055295|47|26
vapen|0.515082|0.035542|1602|468
knivar|0.512601|0.017459|42|23
ecstasy|0.508755|0.034478|32|22
amfetamin|0.507122|0.032896|24|20
hasch|0.506607|0.027368|19|16
skatt
term|score|std|term frequency|document frequency
skatten|0.729571|0.010115|3183|1350
fastighetsskatt|0.711448|0.010602|698|277
inkomstskatt|0.696660|0.014943|503|307
moms|0.684474|0.014393|1481|686
skattesats|0.681089|0.018307|263|169
marginalskatt|0.676379|0.015796|179|89
förmögenhetsskatt|0.668256|0.022538|435|215
beskattning|0.667336|0.013777|1938|994
kommunalskatt|0.663449|0.017408|270|146
källskatt|0.654169|0.032161|36|24
bolagsskatt|0.641146|0.022048|75|66
arbetsgivaravgift|0.634126|0.018558|180|138
avgift|0.626612|0.019911|1150|709
avkastningsskatt|0.624070|0.016293|63|44
fordonsskatt|0.611827|0.023604|129|88
elskatt|0.611111|0.020584|65|41
lön|0.607959|0.020881|1481|796
ränta|0.595144|0.017649|339|243
kupongskatt|0.594364|0.039508|16|9
reavinstskatt|0.594180|0.024586|104|68
säkerhet
term|score|std|term frequency|document frequency
suveränitet|0.567814|0.019703|72|55
integritet|0.553083|0.024337|824|502
trygghet|0.535173|0.019095|3394|1748
trovärdighet|0.528462|0.020017|384|312
krishanteringsförmåga|0.525514|0.032814|65|26
stabilitet|0.514714|0.022702|556|350
sä|0.493663|0.027347|8|7
rättssäkerhet|0.488260|0.021299|710|482
försvarsförmåga|0.488098|0.026036|111|69
funktionalitet|0.485106|0.036188|30|25
säkerheten|0.484080|0.031265|788|563
hygien|0.483105|0.027174|49|47
