droger
term|score|std|term frequency|document frequency
narkotika|0.735191|0.015106|1244|316
narkotikamissbruk|0.604914|0.026486|149|71
alkohol|0.601813|0.023696|1594|496
våld|0.598054|0.036297|1753|548
vapen|0.596840|0.033325|848|239
missbruket|0.566275|0.023916|281|127
missbrukare|0.563145|0.034828|547|181
kriminalitet|0.562448|0.035067|447|261
våldet|0.561798|0.052836|292|152
ungdomar|0.544084|0.026234|3684|1309
narkotikamissbruket|0.540727|0.021808|168|78
polisen|0.525971|0.026083|3346|893
missbruk|0.521814|0.022199|1012|468
internet|0.518618|0.033750|897|388
brottslingar|0.518062|0.040030|532|198
intagna|0.511065|0.048430|544|172
preparat|0.502862|0.021222|242|129
brott|0.501637|0.018541|5456|1337
drogerna|0.500281|0.031217|57|37
våldsbrott|0.497097|0.033236|462|218
skatt
term|score|std|term frequency|document frequency
skatten|0.758644|0.008311|2612|1005
avgift|0.704042|0.015754|803|491
moms|0.703900|0.023325|1167|517
fastighetsskatt|0.694483|0.020924|678|259
beskattning|0.692233|0.019293|1694|811
inkomstskatt|0.674569|0.016319|445|261
förmögenhetsskatt|0.654638|0.023653|435|215
inkomst|0.654367|0.015198|2059|815
lön|0.649727|0.017304|1205|585
skattesats|0.646520|0.026026|228|135
kommunalskatt|0.643867|0.029859|245|126
marginalskatt|0.622247|0.025825|150|70
skatter|0.606447|0.018458|3890|1333
ränta|0.600000|0.029266|256|183
reavinstskatt|0.595028|0.036644|100|64
avgiften|0.572395|0.028405|557|342
förmögenhetsskatten|0.569908|0.030654|723|242
arbetsgivaravgifter|0.569403|0.024146|665|343
fordonsskatt|0.563947|0.045036|107|73
fastighetsskatten|0.559542|0.013541|1377|322
säkerhet
term|score|std|term frequency|document frequency
integritet|0.614194|0.026657|617|350
trovärdighet|0.591005|0.022135|290|228
trygghet|0.586702|0.018334|2506|1087
legitimitet|0.585070|0.023401|304|220
hälsa|0.579857|0.021147|1636|751
frihet|0.576377|0.016749|2312|1042
kapacitet|0.559946|0.024331|531|393
styrka|0.554656|0.017244|518|432
miljö|0.549855|0.029888|2342|1257
stabilitet|0.549151|0.021654|415|246
säkerheten|0.534307|0.030481|450|293
kompetens|0.532684|0.022349|3250|1578
rättssäkerhet|0.532346|0.037773|583|374
effektivitet|0.530205|0.018348|773|564
förtroende|0.528560|0.029756|729|509
kontroll|0.526766|0.027482|2021|1140
respekt|0.517137|0.022791|1162|657
förståelse|0.512565|0.028368|513|425
tillgänglighet|0.511192|0.022809|668|450
suveränitet|0.510448|0.043036|63|46
trygghet
term|score|std|term frequency|document frequency
frihet|0.688024|0.016213|2312|1042
tryggheten|0.685584|0.024917|425|264
delaktighet|0.675392|0.031554|327|237
